epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.732,1.50011,3.24707,1.85421,0.44889,0.43853,0.42039,0.19631,1.77078,2.18007,2.32904,0.000208188,0.000208188,0.000208188
2,331.673,1.49839,2.59115,1.81996,0.51182,0.47472,0.45989,0.22477,1.73369,2.11877,2.24016,0.000408275,0.000408275,0.000408275
3,512.516,1.51407,2.40578,1.82226,0.5422,0.50372,0.5108,0.24931,1.78966,2.00522,2.28849,0.000600111,0.000600111,0.000600111
4,699.088,1.49564,2.25861,1.80122,0.61256,0.49783,0.5355,0.26824,1.76421,1.9143,2.25333,0.000587875,0.000587875,0.000587875
5,885.258,1.47151,2.11033,1.77856,0.64225,0.57687,0.59869,0.32074,1.6912,1.70234,2.17027,0.0005755,0.0005755,0.0005755
6,1067.7,1.45049,2.02247,1.76376,0.67519,0.57845,0.60495,0.32806,1.65244,1.62447,2.14097,0.000563125,0.000563125,0.000563125
7,1252,1.43033,1.95588,1.74913,0.64303,0.59041,0.60334,0.3402,1.60042,1.61473,2.08829,0.00055075,0.00055075,0.00055075
8,1435.48,1.41291,1.88071,1.73235,0.73184,0.62716,0.67704,0.3757,1.60349,1.43211,2.08489,0.000538375,0.000538375,0.000538375
9,1618.49,1.40034,1.82172,1.72437,0.68314,0.65133,0.67256,0.37958,1.6118,1.37124,2.07998,0.000526,0.000526,0.000526
10,1803.55,1.38801,1.76674,1.71461,0.69378,0.64835,0.6693,0.3729,1.5966,1.39272,2.07052,0.000513625,0.000513625,0.000513625
11,1990.76,1.3906,1.72512,1.70437,0.73618,0.6509,0.69248,0.39136,1.57854,1.33752,2.04227,0.00050125,0.00050125,0.00050125
12,2175.9,1.36562,1.67273,1.68746,0.72932,0.6303,0.67997,0.38418,1.56615,1.35868,2.04197,0.000488875,0.000488875,0.000488875
13,2361.11,1.35234,1.63625,1.67809,0.73337,0.66257,0.70336,0.39427,1.58026,1.31398,2.05368,0.0004765,0.0004765,0.0004765
14,2543.64,1.34579,1.60703,1.6715,0.81155,0.66266,0.72624,0.41279,1.55897,1.274,2.02766,0.000464125,0.000464125,0.000464125
15,2728.4,1.34155,1.58019,1.66693,0.79555,0.66085,0.71277,0.40949,1.52099,1.24884,2.00165,0.00045175,0.00045175,0.00045175
16,2912.95,1.33361,1.54246,1.65794,0.7782,0.6425,0.72021,0.41484,1.5504,1.24237,2.01845,0.000439375,0.000439375,0.000439375
17,3095.67,1.32249,1.52284,1.65577,0.77919,0.67404,0.72364,0.42029,1.53506,1.19435,2.00002,0.000427,0.000427,0.000427
18,3282.44,1.30983,1.47167,1.6401,0.76745,0.69163,0.74128,0.42681,1.5269,1.1727,2.00509,0.000414625,0.000414625,0.000414625
19,3470.02,1.30451,1.44957,1.63336,0.80597,0.67358,0.73909,0.4343,1.51046,1.15994,1.97898,0.00040225,0.00040225,0.00040225
20,3657.22,1.3018,1.44697,1.63309,0.84766,0.68028,0.7548,0.44136,1.51411,1.14945,1.9922,0.000389875,0.000389875,0.000389875
21,3843.79,1.29716,1.4232,1.6254,0.81181,0.70497,0.75493,0.43315,1.52987,1.1415,2.00266,0.0003775,0.0003775,0.0003775
22,4027.52,1.28854,1.38641,1.62592,0.79671,0.70511,0.74832,0.43653,1.51963,1.13212,2.00744,0.000365125,0.000365125,0.000365125
23,4209.96,1.27495,1.36388,1.6083,0.8174,0.68983,0.74822,0.44104,1.50505,1.12528,1.98253,0.00035275,0.00035275,0.00035275
24,4394.34,1.26709,1.36331,1.60893,0.82109,0.70816,0.76097,0.44315,1.50091,1.09413,1.97052,0.000340375,0.000340375,0.000340375
25,4580.38,1.25239,1.33015,1.59441,0.82949,0.69644,0.76251,0.44757,1.51101,1.06933,1.98137,0.000328,0.000328,0.000328
26,4764.88,1.26086,1.31375,1.59327,0.82413,0.70192,0.76068,0.44318,1.50715,1.1027,1.98351,0.000315625,0.000315625,0.000315625
27,4946.88,1.24382,1.29162,1.58499,0.83685,0.68942,0.7683,0.44753,1.50775,1.07284,1.97977,0.00030325,0.00030325,0.00030325
28,5132.47,1.23401,1.27854,1.58185,0.81256,0.71705,0.76871,0.45379,1.49652,1.06637,1.96878,0.000290875,0.000290875,0.000290875
29,5317.94,1.2276,1.24797,1.57322,0.83025,0.7052,0.76835,0.45555,1.49992,1.08259,1.97227,0.0002785,0.0002785,0.0002785
30,5502.28,1.23425,1.24437,1.57523,0.8414,0.70368,0.77463,0.45868,1.48368,1.03794,1.96224,0.000266125,0.000266125,0.000266125
31,5684.79,1.21095,1.22387,1.55828,0.82596,0.71593,0.76614,0.44783,1.51396,1.05913,1.986,0.00025375,0.00025375,0.00025375
32,5869.3,1.21448,1.21393,1.5564,0.85977,0.70894,0.77621,0.46266,1.50867,1.03365,1.97207,0.000241375,0.000241375,0.000241375
33,6054.26,1.19572,1.19861,1.54737,0.83696,0.72515,0.77143,0.452,1.50153,1.04774,1.98228,0.000229,0.000229,0.000229
34,6238.96,1.20055,1.1841,1.54625,0.84118,0.71851,0.77278,0.45805,1.48992,1.03755,1.96443,0.000216625,0.000216625,0.000216625
35,6422.42,1.18798,1.16944,1.53757,0.85342,0.71552,0.77623,0.45833,1.50105,1.02381,1.97701,0.00020425,0.00020425,0.00020425
36,6605.23,1.188,1.15255,1.53264,0.81653,0.72917,0.76767,0.45203,1.50321,1.03947,1.97696,0.000191875,0.000191875,0.000191875
37,6795.35,1.17537,1.1389,1.52948,0.84532,0.73542,0.78261,0.45936,1.50172,1.02012,1.9804,0.0001795,0.0001795,0.0001795
38,6985.62,1.17963,1.12892,1.53039,0.85011,0.72059,0.77795,0.46172,1.50372,1.03136,1.98659,0.000167125,0.000167125,0.000167125
39,7171.13,1.16183,1.11145,1.51773,0.82419,0.72486,0.77314,0.45772,1.50064,1.02155,1.99057,0.00015475,0.00015475,0.00015475
40,7355.67,1.15738,1.10383,1.51297,0.83952,0.71993,0.77264,0.45883,1.50238,1.01518,1.98941,0.000142375,0.000142375,0.000142375
41,7541.88,1.113,0.75006,1.61528,0.81069,0.73117,0.77105,0.45487,1.50598,1.04012,2.00235,0.00013,0.00013,0.00013
42,7727.19,1.09173,0.71282,1.60117,0.79852,0.74274,0.77671,0.46074,1.50033,1.03015,1.99784,0.000117625,0.000117625,0.000117625
43,7912.78,1.07606,0.68776,1.58306,0.84922,0.71841,0.77403,0.45827,1.5069,1.03289,2.00875,0.00010525,0.00010525,0.00010525
44,8097.02,1.06409,0.67261,1.56746,0.81688,0.73659,0.77421,0.45436,1.51528,1.03875,2.01511,9.2875e-05,9.2875e-05,9.2875e-05
45,8282.01,1.04476,0.66266,1.55848,0.81375,0.7351,0.77361,0.4555,1.51217,1.03837,2.01633,8.05e-05,8.05e-05,8.05e-05
46,8467.44,1.03662,0.643,1.54033,0.8265,0.72928,0.76898,0.45161,1.51868,1.04229,2.02491,6.8125e-05,6.8125e-05,6.8125e-05
47,8652.6,1.02446,0.62994,1.53653,0.82773,0.73133,0.77159,0.45188,1.52612,1.04598,2.03692,5.575e-05,5.575e-05,5.575e-05
48,8837.19,1.01439,0.62616,1.5288,0.84039,0.73078,0.77095,0.45265,1.52599,1.04296,2.04403,4.3375e-05,4.3375e-05,4.3375e-05
49,9022.39,1.00583,0.61774,1.51855,0.83504,0.72798,0.77114,0.45403,1.52468,1.03923,2.04407,3.1e-05,3.1e-05,3.1e-05
50,9209.07,0.99479,0.60776,1.50481,0.8243,0.72917,0.76753,0.44954,1.5291,1.04184,2.05156,1.8625e-05,1.8625e-05,1.8625e-05
